ID;Word;Translate;Example;class_ID
70524711-06b1-4e3c-873e-6e30a4709200;Word4102;Translate7545;Example4689;e90c74cf-5866-46ff-8f82-62a4ee90c41d
3f23574f-4eda-4678-bf6e-6512f5c3afb3;Word6183;Translate8179;Example2854;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
eef337e5-4ef5-447b-b63b-c56828adbf7f;Word8271;Translate9861;Example5521;e90c74cf-5866-46ff-8f82-62a4ee90c41d
d969265d-180f-4eeb-86c8-c25a8d02676a;Word4305;Translate5491;Example33;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
ef4ec455-52ae-4afd-8e6d-504ae5cbada6;Word7270;Translate6888;Example4653;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
65f00f51-a97a-4e3b-b45b-4a738b9559d6;Word2944;Translate9795;Example7225;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
efc4c4c1-09fa-4b8f-be44-99834620e78b;Word2368;Translate2053;Example3317;e90c74cf-5866-46ff-8f82-62a4ee90c41d
79218de8-1ef3-43dd-8746-a5af1bb46109;Word413;Translate6080;Example7320;e90c74cf-5866-46ff-8f82-62a4ee90c41d
6c300c48-16b1-4067-85ba-23f592615a74;Word1796;Translate3111;Example5111;e90c74cf-5866-46ff-8f82-62a4ee90c41d
1e370e53-7c43-43cd-94ef-11963bb6fd23;Word8561;Translate1927;Example9393;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
456cbe1d-e942-49f4-969c-6701d5447445;Word6185;Translate8668;Example3458;e90c74cf-5866-46ff-8f82-62a4ee90c41d
5dd49bb3-cfaa-4a1d-b4bc-d9dc23bd8f29;Word7318;Translate9050;Example912;16e7ab88-ca61-4a9f-a114-7552619eaad6
06cb4f94-0c54-4b8c-bd29-16a403e88041;Word5738;Translate3599;Example3241;16e7ab88-ca61-4a9f-a114-7552619eaad6
1bc87425-2a28-46a9-a866-f9958d6385f8;Word7390;Translate5416;Example4872;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
b55c047a-9b8c-4fe7-919e-fff59a7ae0ce;Word5824;Translate7291;Example7693;16e7ab88-ca61-4a9f-a114-7552619eaad6
2d1000c7-72df-46b3-b423-d07e40e37cd0;Word796;Translate5473;Example2208;16e7ab88-ca61-4a9f-a114-7552619eaad6
4089fb1d-d14d-4d91-81a1-75f185c540e7;Word504;Translate5810;Example1125;e90c74cf-5866-46ff-8f82-62a4ee90c41d
1c670965-ea16-4167-b8f3-88ddefe2abf9;Word3587;Translate8830;Example8803;16e7ab88-ca61-4a9f-a114-7552619eaad6
9cba43f9-f86f-4ab9-addf-832eb34715dc;Word6467;Translate9615;Example12;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
2c8fea3e-f174-4a75-b1f8-43425d7a83ad;Word5053;Translate6750;Example7784;e90c74cf-5866-46ff-8f82-62a4ee90c41d
571436e9-7504-45b8-8170-16d79991a460;Word5717;Translate4540;Example8240;4aab6d29-9d2b-4c47-be75-a1c62dd070a6
351071cb-e140-4d69-aedd-626800c417b4;Word7764;Translate2321;Example3001;e90c74cf-5866-46ff-8f82-62a4ee90c41d
b8fced93-87ab-4e29-826a-bacf0c70e1e0;Word6499;Translate904;Example7874;16e7ab88-ca61-4a9f-a114-7552619eaad6